{2012/04/07 17:16:50} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:17} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:17} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:23} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:24} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:40} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:40} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:18:52} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:18:52} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:03} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:04} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:24} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:24} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:20:56} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:20:57} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:21:13} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
{2012/04/07 17:21:13} [Error] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - end [HTTP 400] - BAD_REQUEST [11048] - search interval must be lower than or equal 30 days. 
{2012/04/07 17:21:27} [Info] PagSeguroTransactionSearchService.SearchByDate(initialDate=2011-12-10T00:00:00Z, finalDate=2012-04-07T00:00:00Z) - begin 
